t,pos,speed,hp
0.06666666666666667,0.12148844189107381,4.6284117440506565,0.9999317671509005
5.6,101.45795259265937,20.04513521280435,0.9638991226732461
11.133333333333313,211.12988607355456,19.953129822571213,0.9186893174130952
16.66666666666663,323.7515240642562,20.539506610073367,0.871283290377152
22.199999999999942,436.9255711644755,20.415973380484292,0.8304622868431185
27.733333333333256,550.1651789892715,20.442096568111733,0.7858736363775158
33.26666666666664,663.1818495290512,20.430873516791408,0.7356712993770381
38.800000000000246,776.2040419822059,20.378440171412024,0.6854604025388097
44.333333333333854,888.9829415730534,20.36070501353809,0.6356223031968449
49.86666666666746,1003.6144056796098,21.433255562552898,0.5740514743556409
55.40000000000107,1126.7605166148612,23.18572654888959,0.4891270393453371
60.93333333333468,1261.4378723048014,25.08135193465779,0.3762737506401086
66.46666666666802,1400.2213530099164,25.08135193465779,0.2527175921937316
66.46666666666802,1400.2213530099164,25.08135193465779,0.2527175921937316
