i=0 t=0.07 pos=0.0 behindPre=0.000 behindPk=0.000 pk=None->None timerBefore=0.000 timerAfter=0.067 spd=3.000 exitPos=undefined exitDist=0.00
i=115 t=7.73 pos=134.1 behindPre=1.769 behindPk=3.038 pk=PaceDown->PaceDown timerBefore=0.067 timerAfter=0.133 spd=18.492 exitPos=205.3831730164778 exitDist=5.62
i=116 t=7.80 pos=135.3 behindPre=1.805 behindPk=3.076 pk=PaceDown->PaceDown timerBefore=0.133 timerAfter=0.200 spd=18.458 exitPos=205.3831730164778 exitDist=5.62
i=117 t=7.87 pos=136.5 behindPre=1.845 behindPk=3.116 pk=PaceDown->PaceDown timerBefore=0.200 timerAfter=0.267 spd=18.425 exitPos=205.3831730164778 exitDist=5.62
i=118 t=7.93 pos=137.8 behindPre=1.888 behindPk=3.160 pk=PaceDown->PaceDown timerBefore=0.267 timerAfter=0.333 spd=18.392 exitPos=205.3831730164778 exitDist=5.62
i=119 t=8.00 pos=139.0 behindPre=1.934 behindPk=3.207 pk=PaceDown->PaceDown timerBefore=0.333 timerAfter=0.400 spd=18.358 exitPos=205.3831730164778 exitDist=5.62
i=120 t=8.07 pos=140.2 behindPre=1.983 behindPk=3.257 pk=PaceDown->PaceDown timerBefore=0.400 timerAfter=0.467 spd=18.325 exitPos=205.3831730164778 exitDist=5.62
i=121 t=8.13 pos=141.4 behindPre=2.035 behindPk=3.310 pk=PaceDown->PaceDown timerBefore=0.467 timerAfter=0.533 spd=18.292 exitPos=205.3831730164778 exitDist=5.62
i=122 t=8.20 pos=142.7 behindPre=2.091 behindPk=3.367 pk=PaceDown->PaceDown timerBefore=0.533 timerAfter=0.600 spd=18.258 exitPos=205.3831730164778 exitDist=5.62
i=123 t=8.27 pos=143.9 behindPre=2.149 behindPk=3.426 pk=PaceDown->PaceDown timerBefore=0.600 timerAfter=0.667 spd=18.225 exitPos=205.3831730164778 exitDist=5.62
i=124 t=8.33 pos=145.1 behindPre=2.211 behindPk=3.489 pk=PaceDown->PaceDown timerBefore=0.667 timerAfter=0.733 spd=18.192 exitPos=205.3831730164778 exitDist=5.62
i=125 t=8.40 pos=146.3 behindPre=2.276 behindPk=3.555 pk=PaceDown->PaceDown timerBefore=0.733 timerAfter=0.800 spd=18.158 exitPos=205.3831730164778 exitDist=5.62
i=126 t=8.47 pos=147.5 behindPre=2.344 behindPk=3.624 pk=PaceDown->PaceDown timerBefore=0.800 timerAfter=0.867 spd=18.125 exitPos=205.3831730164778 exitDist=5.62
i=127 t=8.53 pos=148.7 behindPre=2.416 behindPk=3.696 pk=PaceDown->PaceDown timerBefore=0.867 timerAfter=0.933 spd=18.092 exitPos=205.3831730164778 exitDist=5.62
i=128 t=8.60 pos=149.9 behindPre=2.490 behindPk=3.772 pk=PaceDown->PaceDown timerBefore=0.933 timerAfter=1.000 spd=18.058 exitPos=205.3831730164778 exitDist=5.62
i=129 t=8.67 pos=151.1 behindPre=2.568 behindPk=3.850 pk=PaceDown->PaceDown timerBefore=1.000 timerAfter=1.067 spd=18.025 exitPos=205.3831730164778 exitDist=5.62
i=130 t=8.73 pos=152.3 behindPre=2.649 behindPk=3.932 pk=PaceDown->PaceDown timerBefore=1.067 timerAfter=1.133 spd=17.995 exitPos=205.3831730164778 exitDist=5.62
i=149 t=10.00 pos=175.1 behindPre=4.400 behindPk=5.701 pk=PaceDown->None timerBefore=2.333 timerAfter=-3.000 spd=18.009 exitPos=205.3831730164778 exitDist=5.62
FINISH t=16.733333333333295
